Title,Subtitles,Author,Category,Goal Amount,Current Amount,Image,Video,Is_Top,Is Recommended,Start Date,End Date,Creation Date,Content,Tags
Cutting-Edge Robotics for All Ages,"Preserving the past, for the future.",Ariana Brown,Food,6387723,7065058,Images/Cutting-Edge Robotics for All Ages_15.png,,False,False,2024-01-05,2024-09-19,2024-09-04,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Family', 'Events']"
Innovative Home Security: Stay Safe,Redefining personal productivity with smart AI.,Jessica Estes,Family,9332531,7443957,Images/Innovative Home Security: Stay Safe_16.png,,True,True,2024-02-08,2024-10-09,2024-09-01,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Animals', 'Education']"
Build the World’s Smartest Smartwatch,"Preserving the past, for the future.",Nicole Davis,Environment,4235570,8906439,Images/Build the World’s Smartest Smartwatch_17.png,,True,True,2024-06-25,2024-10-11,2024-09-10,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Art', 'Business']"
Innovative Home Security: Stay Safe,Giving every child a chance to succeed.,Patricia Brown,Publishing,9282824,2455660,Images/Innovative Home Security: Stay Safe_18.png,,True,False,2024-01-07,2024-10-01,2024-09-09,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Environment', 'Family']"
Cutting-Edge Robotics for All Ages,Giving every child a chance to succeed.,Paul Leonard,Environment,7712402,3900822,Images/Cutting-Edge Robotics for All Ages_19.png,,True,False,2024-01-26,2024-10-04,2024-09-06,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Publishing', 'Environment']"
Innovative Home Security: Stay Safe,Giving every child a chance to succeed.,Roberto Meza,Community,5026233,6491053,Images/Innovative Home Security: Stay Safe_20.png,,False,False,2024-05-21,2024-09-23,2024-09-12,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Travel', 'Tech']"
Next-Gen AI Assistant for Everyone,"Interactive, fun, and effective – promoting healthy habits.",William Williams,Photography,837406,5706324,Images/Next-Gen AI Assistant for Everyone_21.png,,False,True,2024-04-08,2024-09-30,2024-09-04,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Family', 'Community']"
The Future of 3D Printing,"Clean water on the go, for any adventure.",Craig Rangel,Animals,6135216,3088910,Images/The Future of 3D Printing_22.png,,False,False,2024-02-12,2024-10-04,2024-09-01,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Education', 'Events']"
Crowdfunding Cancer Research Breakthroughs,"Smart, efficient, and affordable home protection.",Linda Wilson,Education,699088,695649,Images/Crowdfunding Cancer Research Breakthroughs_23.png,,False,True,2024-09-02,2024-09-25,2024-09-03,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Events', 'Charity']"
The Future of 3D Printing,Bridging the gap between knowledge and access.,Hector Smith,Art,2436188,8431854,Images/The Future of 3D Printing_24.png,,True,False,2024-05-04,2024-09-28,2024-09-05,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Events', 'Sports']"
Yoga Mat with Built-in Guidance System,Bridging the gap between knowledge and access.,Abigail Hall,Tech,4699397,9881504,Images/Yoga Mat with Built-in Guidance System_25.png,,True,True,2024-08-09,2024-10-05,2024-09-05,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Community', 'Publishing']"
Cutting-Edge Robotics for All Ages,"Clean water on the go, for any adventure.",Brian Mason,Family,1648934,8598579,Images/Cutting-Edge Robotics for All Ages_26.png,,False,False,2024-06-07,2024-10-04,2024-09-09,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Art', 'Art']"
Cutting-Edge Robotics for All Ages,Creating opportunities for young and talented creatives.,Renee Rhodes,Tech,2549689,9449426,Images/Cutting-Edge Robotics for All Ages_27.png,,True,True,2024-07-31,2024-09-18,2024-09-02,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Art', 'Family']"
Electric Bikes for a Sustainable Future,"Interactive, fun, and effective – promoting healthy habits.",Thomas Martin,Gaming,4917068,257431,Images/Electric Bikes for a Sustainable Future_28.png,,False,False,2024-03-15,2024-09-17,2024-09-12,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Food', 'Tech']"
Fight Childhood Obesity with Our App,"Smart, efficient, and affordable home protection.",Keith Weber,Sports,4616198,4622087,Images/Fight Childhood Obesity with Our App_29.png,,False,True,2024-04-13,2024-10-08,2024-09-08,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Music', 'Health']"
"Wireless Charging: Charge Anywhere, Anytime","Clean water on the go, for any adventure.",Jason Campbell,Travel,9603085,3155561,"Images/Wireless Charging: Charge Anywhere, Anytime_30.png",,True,True,2024-05-28,2024-09-26,2024-09-03,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Fashion', 'Community']"
Crowdfunding Cancer Research Breakthroughs,"Harness the power of the sun, anywhere, anytime.",Cheryl Clarke,Food,3365285,2608126,Images/Crowdfunding Cancer Research Breakthroughs_31.png,,True,True,2024-05-16,2024-09-24,2024-09-10,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Family', 'Publishing']"
Revolutionize Tech with AI,"Your health, fitness, and convenience – all in one.",Jeff Keller,Music,3535547,9796941,Images/Revolutionize Tech with AI_32.png,,True,True,2024-01-11,2024-09-27,2024-09-10,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Community', 'Business']"
Solar-Powered Charger for the Future,Bridging the gap between knowledge and access.,Wanda Walsh,Publishing,9716815,2991906,Images/Solar-Powered Charger for the Future_33.png,,False,False,2024-02-18,2024-10-02,2024-09-01,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Music', 'Sports']"
Wearable Tech to Monitor Your Health,Redefining personal productivity with smart AI.,Thomas Clark,Animals,5478925,7620911,Images/Wearable Tech to Monitor Your Health_34.png,,False,True,2024-04-12,2024-09-15,2024-09-05,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Education', 'Food']"
Revolutionize Tech with AI,"Building the future with science, technology, engineering, and math.",Daniel Mcguire,Sports,4426545,8968572,Images/Revolutionize Tech with AI_35.png,,False,True,2024-09-10,2024-09-25,2024-09-06,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Environment', 'Sports']"
Innovative Home Security: Stay Safe,Redefining personal productivity with smart AI.,Sharon Potter DDS,Family,4027695,2260462,Images/Innovative Home Security: Stay Safe_36.png,,True,False,2024-06-17,2024-10-05,2024-09-06,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Photography', 'Food']"
Fight Childhood Obesity with Our App,"Harness the power of the sun, anywhere, anytime.",Ashley Simmons,Education,9645302,7989757,Images/Fight Childhood Obesity with Our App_37.png,,False,False,2024-04-25,2024-10-09,2024-09-02,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Events', 'Tech']"
Mental Health Support App for Teens,"Clean water on the go, for any adventure.",Sheena Brown,Food,925735,2975364,Images/Mental Health Support App for Teens_38.png,,True,False,2024-05-08,2024-10-04,2024-09-05,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Animals', 'Film']"
The Future of 3D Printing,"Harness the power of the sun, anywhere, anytime.",Shirley Lopez,Film,3352282,9383333,Images/The Future of 3D Printing_39.png,,False,True,2024-06-06,2024-10-08,2024-09-05,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Health', 'Tech']"
Virtual Reality Fitness: Work Out at Home,"Smart, efficient, and affordable home protection.",Kenneth Marsh,Publishing,2413027,5793668,Images/Virtual Reality Fitness: Work Out at Home_40.png,,True,True,2024-06-21,2024-09-29,2024-09-13,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Art', 'Community']"
Plant-Based Supplements for Optimal Health,"Building the future with science, technology, engineering, and math.",Angela Lewis,Publishing,9054331,2100831,Images/Plant-Based Supplements for Optimal Health_41.png,,True,True,2024-07-04,2024-09-26,2024-09-11,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Film', 'Business']"
A Portable Water Purifier for Everyone,Bridging the gap between knowledge and access.,Richard Williams,Tech,9332638,4477638,Images/A Portable Water Purifier for Everyone_42.png,,True,True,2024-02-22,2024-09-25,2024-09-05,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Travel', 'Tech']"
Affordable Hearing Aids for All,"Smart, efficient, and affordable home protection.",Cassandra Campos,Travel,2234494,4778924,Images/Affordable Hearing Aids for All_43.png,,False,True,2024-04-28,2024-09-15,2024-09-02,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Education', 'Food']"
The Future of 3D Printing,"Building the future with science, technology, engineering, and math.",Steven Mcfarland,Tech,2479499,7449875,Images/The Future of 3D Printing_44.png,,True,True,2024-04-15,2024-09-19,2024-09-13,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Animals', 'Sports']"
Plant-Based Supplements for Optimal Health,"Interactive, fun, and effective – promoting healthy habits.",Donna Harper,Food,4681385,5385067,Images/Plant-Based Supplements for Optimal Health_45.png,,False,False,2024-01-27,2024-10-07,2024-09-09,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Animals', 'Travel']"
Cutting-Edge Robotics for All Ages,"Clean water on the go, for any adventure.",Sarah Benton,Film,5516639,4676607,Images/Cutting-Edge Robotics for All Ages_46.png,,True,False,2024-04-27,2024-10-08,2024-09-10,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Tech', 'Education']"
Cutting-Edge Robotics for All Ages,"Smart, efficient, and affordable home protection.",Michael Butler,Health,7063851,5195067,Images/Cutting-Edge Robotics for All Ages_47.png,,True,False,2024-04-25,2024-09-22,2024-09-09,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Health', 'Health']"
"Wireless Charging: Charge Anywhere, Anytime",Bridging the gap between knowledge and access.,Terri Alvarez,Animals,1389348,2568871,"Images/Wireless Charging: Charge Anywhere, Anytime_48.png",,False,False,2024-05-19,2024-10-03,2024-09-07,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Publishing', 'Animals']"
Electric Bikes for a Sustainable Future,"Smart, efficient, and affordable home protection.",Logan Price,Health,7730008,4456297,Images/Electric Bikes for a Sustainable Future_49.png,,False,True,2024-04-30,2024-10-04,2024-09-12,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Health', 'Food']"
Organic Skincare Line for Sensitive Skin,"Clean water on the go, for any adventure.",Linda Hood,Charity,305800,4472715,Images/Organic Skincare Line for Sensitive Skin_50.png,,False,True,2024-03-08,2024-09-18,2024-09-08,"Meet the AI assistant that’s smarter, faster, and more intuitive than ever. Our goal is to make AI accessible for every home, helping users stay productive and organized like never before.","['Business', 'Food']"
A Portable Water Purifier for Everyone,Unveiling the real stories behind our changing planet.,Michael Cunningham,Music,9339767,8569787,Images/A Portable Water Purifier for Everyone_51.png,,True,True,2024-09-03,2024-10-12,2024-09-02,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Health', 'Education']"
Crowdfunding Cancer Research Breakthroughs,Giving every child a chance to succeed.,Eric Gibson,Health,7832837,3457032,Images/Crowdfunding Cancer Research Breakthroughs_52.png,,False,True,2024-04-16,2024-09-29,2024-09-09,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Community', 'Tech']"
Fight Childhood Obesity with Our App,"Harness the power of the sun, anywhere, anytime.",Kimberly Reynolds,Photography,3069638,4224823,Images/Fight Childhood Obesity with Our App_53.png,,True,False,2024-02-08,2024-09-16,2024-09-01,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Fashion', 'Film']"
Virtual Reality Fitness: Work Out at Home,Bridging the gap between knowledge and access.,Jason Robinson,Food,7697595,2273708,Images/Virtual Reality Fitness: Work Out at Home_54.png,,True,True,2024-04-29,2024-10-09,2024-09-13,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Community', 'Environment']"
Mental Health Support App for Teens,"Harness the power of the sun, anywhere, anytime.",Brianna Hughes,Music,890543,3680800,Images/Mental Health Support App for Teens_55.png,,False,False,2024-03-26,2024-09-22,2024-09-09,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Fashion', 'Family']"
A Portable Water Purifier for Everyone,Redefining personal productivity with smart AI.,Jonathan Roach,Sports,8139900,9251268,Images/A Portable Water Purifier for Everyone_56.png,,False,True,2024-07-06,2024-10-08,2024-09-07,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Charity', 'Charity']"
Affordable Hearing Aids for All,"Track, analyze, and improve your health seamlessly.",John Jackson,Film,6416695,4017221,Images/Affordable Hearing Aids for All_57.png,,False,False,2024-07-12,2024-09-27,2024-09-08,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Publishing', 'Food']"
A Portable Water Purifier for Everyone,"Preserving the past, for the future.",Susan Soto,Gaming,4016597,4845947,Images/A Portable Water Purifier for Everyone_58.png,,True,True,2024-02-18,2024-10-10,2024-09-07,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Animals', 'Animals']"
Next-Gen AI Assistant for Everyone,"Preserving the past, for the future.",David Berry,Art,2848187,8626463,Images/Next-Gen AI Assistant for Everyone_59.png,,False,True,2024-06-30,2024-09-17,2024-09-06,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Art', 'Animals']"
"Wireless Charging: Charge Anywhere, Anytime",Unveiling the real stories behind our changing planet.,Donald Campbell,Publishing,6869227,6635761,"Images/Wireless Charging: Charge Anywhere, Anytime_60.png",,True,False,2024-04-28,2024-09-15,2024-09-09,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Charity', 'Publishing']"
Plant-Based Supplements for Optimal Health,Creating opportunities for young and talented creatives.,Jessica Rangel,Music,6431436,3414348,Images/Plant-Based Supplements for Optimal Health_61.png,,False,False,2024-01-09,2024-10-13,2024-09-06,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Publishing', 'Music']"
The Future of 3D Printing,Redefining personal productivity with smart AI.,Mallory Shannon,Film,2861743,474543,Images/The Future of 3D Printing_62.png,,True,True,2024-07-22,2024-09-23,2024-09-03,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Art', 'Charity']"
Crowdfunding Cancer Research Breakthroughs,Bridging the gap between knowledge and access.,Raymond French,Travel,1710563,4087064,Images/Crowdfunding Cancer Research Breakthroughs_63.png,,True,True,2024-07-20,2024-09-18,2024-09-12,"Keep your home safe with our new home security solution. Designed to be affordable and accessible, this system offers real-time monitoring and alerts, giving you peace of mind wherever you are.","['Publishing', 'Community']"
Next-Gen AI Assistant for Everyone,Bridging the gap between knowledge and access.,Shirley Dominguez,Food,906657,2101058,Images/Next-Gen AI Assistant for Everyone_64.png,,True,False,2024-07-05,2024-09-26,2024-09-11,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Business', 'Events']"
Plant-Based Supplements for Optimal Health,"Clean water on the go, for any adventure.",Mr. Ronnie Becker,Fashion,1240078,7999140,Images/Plant-Based Supplements for Optimal Health_65.png,,True,True,2024-06-15,2024-09-15,2024-09-08,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Fashion', 'Family']"
Affordable Hearing Aids for All,"Track, analyze, and improve your health seamlessly.",Jonathan Cantu,Tech,7622178,4144128,Images/Affordable Hearing Aids for All_66.png,,False,False,2024-01-05,2024-09-15,2024-09-08,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Travel', 'Travel']"
Organic Skincare Line for Sensitive Skin,Bringing cutting-edge technology to your fingertips.,Megan Rivas,Fashion,7959147,9964917,Images/Organic Skincare Line for Sensitive Skin_67.png,,True,False,2024-07-18,2024-09-27,2024-09-09,"Let’s say goodbye to traditional chargers and hello to a sustainable future. With your support, we’re launching a portable solar-powered charger that keeps your devices alive wherever you go, without harming the planet.","['Events', 'Music']"
Yoga Mat with Built-in Guidance System,Unveiling the real stories behind our changing planet.,Nathaniel Salinas,Gaming,1111091,7437240,Images/Yoga Mat with Built-in Guidance System_68.png,,True,False,2024-01-03,2024-09-19,2024-09-10,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Family', 'Fashion']"
"Wireless Charging: Charge Anywhere, Anytime","Interactive, fun, and effective – promoting healthy habits.",Nathan James,Fashion,421602,3706108,"Images/Wireless Charging: Charge Anywhere, Anytime_69.png",,True,False,2024-04-04,2024-09-15,2024-09-03,"Clean water is a basic human right, yet millions still lack access. We’ve created a compact water purifier that fits in your backpack and provides safe, drinkable water anywhere. Join us in solving the world’s water crisis.","['Education', 'Animals']"
Cutting-Edge Robotics for All Ages,Bringing cutting-edge technology to your fingertips.,Robert Coleman,Film,6523586,6306091,Images/Cutting-Edge Robotics for All Ages_70.png,,False,True,2024-09-03,2024-10-07,2024-09-13,"Help us bring cutting-edge technology to the masses! [Your Invention] will transform everyday life, offering users the next-generation experience they deserve. Be part of the tech revolution—support innovation today!","['Family', 'Environment']"
Fight Childhood Obesity with Our App,"Building the future with science, technology, engineering, and math.",John Boyd,Film,7572187,3523327,Images/Fight Childhood Obesity with Our App_71.png,,True,True,2024-03-07,2024-09-19,2024-09-09,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Community', 'Art']"
Electric Bikes for a Sustainable Future,"Track, analyze, and improve your health seamlessly.",Cathy Gamble,Health,2202855,4209926,Images/Electric Bikes for a Sustainable Future_72.png,,True,False,2024-05-07,2024-09-20,2024-09-07,"Our wearable tech is designed to track vital signs and give real-time health insights. With AI-powered data analysis, you’ll have personalized health advice at your fingertips. Let’s make preventative healthcare more accessible!","['Events', 'Art']"
Affordable Hearing Aids for All,Bridging the gap between knowledge and access.,Melissa Monroe,Photography,9616217,4687679,Images/Affordable Hearing Aids for All_73.png,,False,False,2024-02-08,2024-09-17,2024-09-03,"We’re creating a smartwatch that goes beyond fitness tracking. With AI integration, enhanced features, and a sleek design, this will be the most advanced watch ever created. Help us make it a reality!","['Events', 'Health']"
The Future of 3D Printing,Bridging the gap between knowledge and access.,Julia Campbell,Food,9847006,7655926,Images/The Future of 3D Printing_74.png,,False,True,2024-05-13,2024-09-22,2024-09-08,"Explain how your invention solves a major problem or improves upon existing technologies. Include details about the research and development process, and share a timeline for production and delivery. Provide a demo video or early prototypes to showcase functionality","['Animals', 'Animals']"
